,Unnamed: 0,ID,Latitude,Longitude,State
124,7739,387.0,36.0966,-95.907,OK
125,7759,388.0,30.1961,-92.0281,LA
126,7939,397.0,35.3589,-94.3959,AR
127,7959,398.0,29.5932,-90.7214,LA
128,7979,399.0,30.432,-91.1013,LA
129,8039,402.0,29.9581,-90.1001,LA
130,8059,403.0,36.183,-94.1465,AR
131,8079,404.0,36.3379,-94.1561,AR
132,8139,407.0,39.0304,-95.7055,KS
133,8179,409.0,34.7601,-92.2989,AR
134,8199,410.0,38.9583,-95.265,KS
135,8219,411.0,30.4007,-89.0215,MS
136,8239,412.0,40.8042,-96.6724,NE
137,8259,413.0,39.0452,-94.6045,MO
138,8299,415.0,37.1892,-93.2852,MO
139,8379,419.0,41.2421,-96.0451,NE
140,8499,425.0,30.6918,-88.0947,AL
141,8679,434.0,42.4865,-96.3878,IA
142,8759,438.0,30.4394,-87.23,FL
143,8799,440.0,46.818,-100.781,ND
144,8879,444.0,35.0883,-89.9064,TN
145,8979,449.0,30.4192,-86.7095,FL
146,8999,450.0,35.1827,-89.8098,TN
147,9019,451.0,43.5308,-96.7401,SD
148,9399,470.0,30.1898,-85.7691,FL
149,9439,472.0,33.1996,-87.5536,AL
150,9499,475.0,41.6008,-93.6849,IA
151,9639,482.0,42.0287,-93.6311,IA
152,9659,483.0,32.3601,-86.2492,AL
153,9679,484.0,38.7773,-90.6119,MO
154,9699,485.0,38.6065,-90.5381,MO
155,9739,487.0,33.509,-86.8236,AL
156,9759,488.0,38.6489,-90.2956,MO
157,9839,492.0,38.5295,-89.9941,IL
158,9879,494.0,30.4409,-84.2972,FL
159,10019,501.0,27.2941,-82.4929,FL
160,10039,502.0,27.9595,-82.5992,FL
161,10059,503.0,34.7261,-86.61,AL
162,10159,508.0,26.602,-81.921,FL
163,10179,509.0,26.1599,-81.7843,FL
164,10219,511.0,32.4933,-84.9484,GA
165,10239,512.0,46.8571,-96.8225,ND
166,10299,515.0,42.4972,-92.3734,IA
167,10379,519.0,41.6622,-91.5467,IA
168,10399,520.0,41.9932,-91.6625,IA
169,10419,521.0,28.4757,-82.5652,FL
170,10539,527.0,39.7865,-89.656,IL
171,10639,532.0,36.1289,-86.7613,TN
172,10719,536.0,28.0266,-81.9463,FL
173,10739,537.0,35.8468,-86.3859,TN
174,10859,543.0,41.5186,-90.5277,IL
175,10939,547.0,37.9813,-87.5264,IN
176,10999,550.0,25.4874,-80.4421,FL
177,11039,552.0,40.7149,-89.608,IL
178,11059,553.0,28.9477,-81.9816,FL
179,11079,554.0,45.5766,-94.1956,MN
180,11119,556.0,44.7654,-93.2243,MN
181,11139,557.0,45.0005,-93.2306,MN
